SS,MS,SC,MC,HC
pRE = 0.03715808565771638,IAn = 0.07308234732852471,aOn = 0.07363816130418861,RE = 0.04561360089872137,IPVH = 0.028616718200274005
RS = 0.03692845055704458,SCN = 0.07272931264957896,SCN = 0.07309661923248102,AMn = 0.045601209557364596,dEPn = 0.028216366455781575
IGLLGC = 0.036769037471796745,CCA = 0.07268732023855647,NACC.SHELL = 0.07306817131681162,proSub = 0.04550454021577406,AVPV = 0.02748391332110493
IG = 0.03676252489331011,S1 = 0.07266288678734927,LSN = 0.07042323819646157,dEPn = 0.045404541266069263,Clst = 0.025953514441001566
Gpi = 0.03660890570816259,pRE = 0.07248592135479488,MDT = 0.06977770112802457,CCA = 0.04433382421481737,FF = 0.025899183812455432
Gpe = 0.03660890570816259,PVT = 0.07241356093294493,VMHn = 0.06956720062351866,MAn = 0.042704309050157485,FStr = 0.025786218160177808
FF = 0.036501298644180794,RS = 0.07221600457608089,VALCT = 0.06949427001609854,FF = 0.04234179598078097,CA3 = 0.025345504207316752
subGn = 0.03578060785702302,TN = 0.07220785575922536,aAA = 0.06944549128580936,CA = 0.04233579604379866,AMn = 0.02329053761009312
BLA = 0.0350868345234197,VPLT = 0.0721432276496016,AVT = 0.06919440307273313,,OT = 0.02309917314490125
LHb = 0.035022668570641596,,RT = 0.06919440307273313,,SMN = 0.023038260158527293
PAG = 0.03500931931234171,,PSN = 0.06918939153825958,,BLA = 0.022409438616073273
SPZ = 0.034951403972241994,,dEPn = 0.06895940866393041,,cSN = 0.02238640003937207
proSub = 0.034776607381939315,,VMT = 0.06895903677775943,,CA = 0.02238640003937207
PC = 0.034506638975505446,,XiT = 0.06895076806083233,,aOn = 0.02181988545451794
TN = 0.034477172317248464,,TN = 0.06890168038208073,,Vacc = 0.021461205445318324
PSTN = 0.0342810610837057,,IADT = 0.06889997350714057,,PSTN = 0.020855383641615762
,,,,CA1 = 0.01949531897199531
,,,,SPZ = 0.01814749281731816
,,,,LAn = 0.01799097404517643
