,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8
PVT,0.000796165,0.001411706,0.001120484,0.001059767,0.001244996,0.000612009,0.001029672,0.000674252,0.000548772,0.000911639,0.001018415,0.000728045,0.000523807,0.000916649,0.001226691,0.000952239,0.000779175,0.001467763,0.001348853,0.001180138,0.001543613,0.001284442,0.001251567,0.001342059,0.001143621,0.001025737,0.001203991,0.00141249,0.000906936,0.000686012,0.001127622,0.001142656,0.001438791,0.001248265,0.001027339,0.00098584,0.000624606,0.002052937,0.001512084,0.001650329
PT ,0.000439024,0.000673273,0.000471488,NA,0.000818417,0.000395323,0.000782177,0.000449443,0.000624039,0.000736977,0.000522239,0.00052974,0.000420621,0.000712542,0.00082675,0.000650135,0.000898107,0.00110856,0.00086005,0.000914744,0.001041888,NA,0.000738805,0.001051994,0.000511328,0.000534257,0.00079964,0.001143083,0.000818963,0.00062414,0.000591377,0.000805186,0.001046204,0.000706722,0.00063274,0.000720261,0.000747218,NA,0.001628632,0.001098294
RE,0.000286373,0.000441687,0.000432643,0.000482485,0.000368424,0.000282518,0.00044427,0.000370356,0.000351917,0.00044351,0.000290296,0.000573636,0.000217997,0.000540338,0.000469385,0.000340548,0.000721969,0.000821735,0.000544596,0.000497039,0.000951297,NA,0.000951569,0.001321693,0.000329417,0.000358698,0.000365543,0.000594869,0.00056309,0.000365443,0.000479969,0.000515451,0.000829591,0.000707766,0.000516142,0.00048796,0.000528711,0.001600042,0.001986695,0.000917648
XiT,0.000300554,0.000430124,0.0006516,0.000649148,0.000546792,0.000404437,0.000747431,0.000465122,0.000437141,0.000576577,0.000473328,0.000726761,0.000270449,0.000792358,0.000579952,0.000542449,0.001149254,0.000977503,0.00051679,0.000351764,0.001197252,NA,0.001383438,NA,0.000475207,0.000415723,0.000445846,0.000935236,0.000880197,0.000423115,0.000584979,0.000718104,0.001276553,0.001040644,0.000907545,0.000638401,0.000817532,0.001893992,0.002305063,0.001122804
Rh,0.000192239,0.000500225,0.000516439,0.000554824,0.000447651,0.000259474,0.000188963,0.00046866,0.000622077,0.000665654,0.000423563,0.000885842,0.000223657,0.001050324,0.000262083,0.000277358,0.000879722,0.00117465,0.000992605,0.000459666,0.00133771,NA,0.001316161,NA,0.000467948,0.000112932,0.000687741,0.001261035,0.000928952,0.000599698,0.000384454,0.000937806,0.001329448,0.00110551,NA,0.000487478,0.001112461,0.002028903,0.002459182,0.000916991
CMT,0.000404371,0.001037435,0.000613282,0.000821486,0.001036761,0.000368254,0.000537443,0.000594256,0.000537411,0.000842954,0.000636035,0.000780061,0.000367361,0.001211877,0.000509884,0.000698531,0.000900638,0.000946541,0.001237881,0.000489763,0.001129323,0.001024451,0.001418303,0.00159517,0.000631997,0.000494026,0.000499991,0.001276603,0.001037822,0.000332104,0.000697927,0.000866725,0.001318242,0.001052915,0.000742603,0.000630335,0.001199217,0.002308705,0.002409628,0.001220758
PCn,3.03E-05,0.000439362,0.0002639,0.000110135,0.000118587,0.000124136,5.65E-05,0.000335593,0.000310796,0.000467983,0.000127381,0.00054276,0.000106142,0.000752765,0.000107975,0.000133392,0.000458946,0.000379554,0.000481647,9.05E-05,0.000284453,0.000586969,0.000607393,0.000318475,0.000162996,0.000114999,0.000134975,0.000545337,0.000418389,0.000206627,0.000181793,0.000147895,0.000493725,0.000378865,NA,0.000228224,0.000559011,0.001278682,0.002251486,0.000372829
CLT,0.000226167,0.000499852,0.000264022,0.000308687,0.000360325,0.000268805,0.000260901,0.000373391,0.000262259,0.000598788,0.000222231,0.000482802,0.000179738,0.000687355,0.000270367,0.00028456,0.00061773,0.000592911,0.000625607,0.000187626,0.000696531,NA,0.00077993,0.001562828,0.00039542,0.000275329,0.000339795,0.000592595,0.000539127,0.000373363,0.000305001,0.000405361,0.000586717,0.000549003,NA,0.000348652,0.000501309,0.001532967,0.002255328,0.000558607
RT,0.00013952,0.000300416,0.000202582,0.000308247,0.000498989,0.000203271,0.000317552,0.000380888,0.00038129,0.000439837,0.000264918,0.000282955,0.000181425,0.000464163,0.000439531,0.000395224,0.000202348,0.000418769,0.00042619,0.00063099,0.000366464,0.000280165,0.000497905,0.000607637,0.000387628,0.000181714,0.000115674,0.000495034,0.00040109,0.000381986,0.000333168,0.000379204,0.000408621,0.000312492,0.000413246,0.000287074,0.000304025,0.000701694,0.001540742,0.000474466
IGLLGC,0.000796146,0.00102459,0.000672745,0.00086781,0.000947584,0.00047471,NA,0.000336412,0.000564149,0.000384439,0.000683129,0.001066195,0.000592838,0.000887456,0.000737098,NA,0.000753645,0.001590547,0.001071062,0.000833438,0.000852173,0.00120318,0.000691955,0.001584518,0.00089112,0.000714155,0.000790682,0.000735071,0.000702062,0.00055994,0.000618029,0.001086979,0.001109922,0.001176021,0.000734159,0.000587137,0.000730825,0.001356097,0.001773308,0.000905513
vlLGC,0.000626546,0.000828049,0.000676929,0.000643755,0.000728016,0.000303506,0.000445225,0.000365195,0.000478163,0.000443659,0.00057352,0.000778122,0.000388345,0.000751656,0.000571403,0.000536768,0.000548422,0.001157219,0.000879481,0.000684936,0.000890845,0.000944676,0.000661236,0.001190034,0.0007197,0.000464034,0.000388009,0.000744904,0.000489524,0.000438959,0.000504917,0.000707354,0.000824352,0.000891455,0.000552885,0.00064604,0.000505608,0.001019668,0.001481281,0.000835988
subGn,6.68E-05,0.000525887,0.000408444,0.000202963,0.000536553,7.02E-05,NA,0.000264646,0.000355413,0.000286214,0.000102378,0.000274807,0.000112068,0.000294382,0.000106198,NA,0.000105528,0.000431884,0.000375841,0.00017944,0.000532155,NA,0.000291915,NA,9.31E-05,9.09E-05,9.10E-05,0.000380524,0.000248957,NA,8.83E-05,0.000669789,0.000192886,0.000354159,0.00025185,0.000489737,0.000322649,0.000207884,0.00136568,0.000220933
MHb,0.000225621,0.000486796,0.000454345,0.000528387,0.001022406,0.000201417,0.000124653,0.000279779,0.000237018,0.000353871,0.000268616,0.00027263,0.000200707,0.000488241,0.00046571,0.000406867,0.000211888,0.000758608,0.000605557,8.74E-05,0.000699068,0.000656274,0.000398086,0.000818669,0.000289965,0.000393462,0.000248452,0.000352713,0.000151718,0.000187793,0.000341206,0.000245102,0.00036508,0.000346538,0.000435309,0.000321653,0.000211397,0.000494103,0.000577311,0.00031048
LHb,0.000216986,0.000601747,0.00039226,0.000521191,0.000784495,0.000451783,0.00042609,0.000572865,0.000437071,0.000608291,0.000327434,0.000494579,0.000407556,0.000643738,0.000564009,0.000483695,0.000565767,0.000721929,0.000697182,0.000201892,0.000770954,NA,0.000843454,0.0012377,0.000564991,0.000413347,0.000415694,0.000671787,0.000339944,0.000424976,0.00032431,0.000386979,0.000991074,0.000734596,0.000399491,0.000579265,0.000609031,0.000572498,0.001958839,0.00059612
SON,7.49E-05,0.000138957,0.000304838,NA,0.000713948,7.75E-05,0.000142374,0.000352928,0.00024725,0.000435109,0.000311706,0.000316837,0.000265222,0.000304298,0.000209862,0.000706146,0.000292021,0.000325739,0.000392156,0.000172828,0.00061636,NA,0.000329701,4.14E-05,0.00051812,6.64E-05,0.000360453,0.000459551,0.000213295,0.000538815,NA,0.000137635,0.000274287,0.000279351,0.000174069,0.000221887,0.000620397,NA,0.000913882,0.000521627
PVH,0.000652059,0.000851126,0.000758604,0.001013128,0.001030849,0.00042317,0.000733226,0.00042493,0.0006119,0.000904684,0.000979167,0.001225239,0.000439178,0.00034941,0.00115027,0.00119244,0.00087188,0.001507514,0.000916289,0.001654442,0.001491616,0.001870938,0.001519274,0.001623598,0.000799618,0.000366594,0.000635329,0.000865843,0.00057335,0.00046512,0.000613612,0.000896776,0.002178454,0.001375705,0.001153917,0.00102386,0.000381899,0.001913857,0.001963374,0.001961652
IPVH,0.000391998,0.000440448,0.000654813,0.000567927,0.000493161,0.000331867,0.000374132,0.000439127,0.000370949,0.000483332,0.000378475,0.00053589,0.000318281,0.00051721,0.000310969,0.000528765,0.00029611,0.001067545,0.000756232,0.000355689,0.000606747,0.000649515,0.000522933,0.000564433,0.000309957,0.000221901,0.000368633,0.000406621,0.00046652,0.000219239,NA,0.000386698,0.000827935,0.000673383,NA,0.000384005,0.000546206,0.000782199,0.001541827,0.00063194
ArH,0.000125845,0.000602852,0.000611804,0.000773398,0.000913892,9.32E-05,0.000302754,0.000254599,0.000527455,0.000758243,0.000429383,0.000813687,0.000421006,0.000543246,0.000407468,0.000743193,0.000328971,0.000718459,0.000458517,0.000872939,0.000745424,0.001059369,NA,NA,0.000646913,0.000308434,0.000361463,0.000741108,0.000308496,0.000399505,NA,7.76E-05,0.000422776,NA,NA,0.000277564,0.000507779,0.000732605,0.001932114,0.000668716
ADPO,0.000838668,0.001445197,0.00104346,NA,NA,0.000480042,0.000965799,0.000587534,NA,0.001072387,0.000937279,0.001224423,0.000937414,0.000836348,0.001080544,0.001144677,0.001439361,0.002300144,0.001490258,NA,0.001870443,0.001507793,0.000818252,NA,0.001306272,0.001637949,0.000778466,0.00159262,NA,0.001108055,NA,0.001102052,0.001543844,0.001375287,0.001421533,0.001463434,0.001457942,0.001598723,0.002053286,NA
