"","lower","r","upper","p"
"MDT-MDT",NA,1,NA,0
"SMT-MDT",0.152201748506782,0.773874716216644,0.956785295058885,0.0242253886375457
"pRE-MDT",-0.581568515501383,0.208586351350827,0.79622589339997,0.620096561454921
"PVT-MDT",-0.72608007358998,-0.0438355689147046,0.681901106532704,0.917913538274274
"PT-MDT",-0.729320694964766,-0.0507085313432224,0.678198413021883,0.905084365056263
"RE-MDT",-0.57977286526067,0.211176117079897,0.797215354587455,0.615659131352456
"XiT-MDT",-0.36626344563644,0.456136444966652,0.878451378321599,0.255969451629815
"Rh-MDT",0.0250203170348607,0.71705082198719,0.944487269962214,0.0452944689194469
"CMT-MDT",0.228406295387775,0.803719222139493,0.962992506350056,0.0162311087916673
"PCn-MDT",0.111446294441187,0.756693658541025,0.953134659528866,0.0297570977061242
"CLT-MDT",0.533561559502813,0.89988861805984,0.981907404635405,0.0023237971228511
"RT-MDT",-0.627005518544195,0.139147465333369,0.76846932389665,0.74244666025265
"IGLLG-MDT",-0.9435997206434,-0.658369085440776,0.187796865380718,0.107859517774226
"vlLGC-MDT",-0.807027736527033,-0.237311794544556,0.561210851660736,0.571463966313584
"subGn-MDT",-0.684901890912188,0.140752015319652,0.808150644406168,0.76341182242812
"MHb-MDT",-0.743018075694302,-0.0804868129384844,0.661716616204309,0.849737713846101
"LHb-MDT",-0.775878330650945,-0.157096310620676,0.61573996631921,0.710254810926335
"SON-MDT",-0.881963586088396,-0.468398203120283,0.352684393008102,0.241754869191229
"PVH-MDT",-0.830109597964761,-0.302224818077101,0.511350177450967,0.466889380190553
"IPVH-MDT",-0.893487524627499,-0.509781297366479,0.304151803535719,0.196849863011164
"ArH-MDT",-0.794806755596121,-0.20488630232206,0.584120706568072,0.626453788388561
"ADPO-MDT",-0.958942109544741,-0.740960760917707,0.0273687313053764,0.056725392790043
"AVPO-MDT",-0.962940696511222,-0.8034667570687,-0.227730668120068,0.0162905097777718
"AVPV-MDT",-0.958407241691739,-0.737966058283046,0.0339705496240739,0.0582764535690919
"DMH-MDT",-0.780298042448175,-0.168001640193837,0.608737400635637,0.690873950353414
"MePO-MDT",-0.906857990596029,-0.56012881329498,0.238800483547087,0.148753789065194
"MPA-MDT",-0.954478043318675,-0.762984655741294,-0.126121577731809,0.0276500088242143
"PSN-MDT",-0.925095740157734,-0.633198597538194,0.129061143302777,0.0919255279312154
"SPZ-MDT",-0.73254084685912,0.0457612835095152,0.772208392331752,0.922394548472062
"SCN-MDT",-0.567396117304331,0.452557228804083,0.924551245842134,0.367507837512442
"AHN-MDT",-0.763662055716101,-0.127718578381971,0.634015647116014,0.763119109097612
"SMN-MDT",-0.913462271482268,-0.393942988558633,0.613881726341154,0.439653735740719
"MPO-MDT",-0.928033147769994,-0.645474839404646,0.108590189719859,0.0838788992374742
"VMHn-MDT",-0.921922778771818,-0.620100887151204,0.150208314198991,0.100983347366703
"PHn-MDT",-0.602955574239293,0.176864825688999,0.783845620658597,0.67522922533132
"LHA-MDT",-0.906167363740303,-0.557463916843835,0.242450954953931,0.151117195829522
"LPO-MDT",-0.942574843890375,-0.708477836365999,-0.00759834466478801,0.0491850713257468
"PSTN-MDT",-0.815087440163026,-0.160617941308146,0.673958588692969,0.730830093300656
"STN-MDT",-0.731487887469221,-0.055341030839162,0.67568167638128,0.896447233876162
"TN-MDT",-0.897607355157256,-0.525019643448057,0.285149066720558,0.181528156065024
"ZI-MDT",-0.586681432122565,0.201151077738057,0.793367552068625,0.632891893331219
"FF-MDT",-0.794576757616643,-0.103373428118027,0.704529634944574,0.825443973512362
"SCO-MDT",-0.907308164916444,-0.486986159702928,0.420154875027961,0.267705461915914
"reSN-MDT",-0.712607657036737,-0.0159381610197918,0.69655794243132,0.970121008565942
"VTA-MDT",-0.662635744239004,0.0788603537154393,0.742283998877443,0.852748729327034
"PAG-MDT",-0.597872591539996,0.282274968011156,0.853834041580845,0.539656057665702
"PreCN-MDT",-0.820300847012911,-0.17590571408616,0.665280219449633,0.705971838922145
"APTN-MDT",-0.723179950807199,-0.0377390368286684,0.685154674115739,0.929306463806126
"cSN-MDT",-0.725895580162933,-0.0434462142276864,0.682109757503255,0.918640800179576
"FP-SMT",-0.270011620872558,0.536797751014076,0.900747693081846,0.170139115895435
"M1-SMT",0.156492094930049,0.775631665324277,0.957155390756147,0.0236989414620747
"M2-SMT",0.12529953923897,0.762635425411071,0.954403671536546,0.0277644854702589
"S1-SMT",-0.0357718743951134,0.686198380141737,0.937532001333358,0.0602111359916486
"SS-SMT",-0.152573167945776,0.61860900058231,0.921558776918107,0.102046172045402
"GA-SMT",-0.254113502285141,0.548838181015905,0.903919117724311,0.158907337971351
"VA-SMT",-0.470620514014039,0.350185754306721,0.846075628111823,0.395106034475097
"AuA-SMT",-0.766577323707508,-0.134629293555356,0.629791736703074,0.750603691851602
"ViA-SMT",-0.70661606630557,-0.00387027765803748,0.70271916261923,0.992743301857203
"dACC-SMT",-0.628863874358593,0.136137466968891,0.767210098889776,0.747878578224854
