"","lower","r","upper","p"
"Clst-VMHn",-0.841039995463628,-0.239962807461841,0.626265129662818,0.604253195753656
"dEPn-VMHn",-0.863917050462373,-0.317265350637815,0.572597265051579,0.488086608297486
"vEPn-VMHn",-0.750591351611304,0.00567382357453833,0.755503877280098,0.990367972980236
"LAn-VMHn",-0.00573250727162863,0.750565727606297,0.960647202151475,0.0519038824817119
"BLA-VMHn",-0.258540708902612,0.61407556578066,0.934834070232547,0.142385766060971
"BMe-VMHn",-0.356854681902845,0.541803547461705,0.919639822143461,0.209036442481215
"CCA-VMHn",-0.456462731628896,0.451950014121092,0.899028580160621,0.308642024893516
"PAn-VMHn",0.1297953462244,0.804243892519321,0.969893430983842,0.0292152190992809
"aAA-VMHn",-0.808002125455963,-0.140332476062889,0.68512904983558,0.764103056784758
"CA-VMHn",-0.889380278284836,-0.412791054104139,0.493752949785877,0.357370366351041
"IAn-VMHn",-0.64206028675602,0.214907441467186,0.83313312569538,0.64352816800334
"MAn-VMHn",-0.52057963232055,0.382382716939125,0.8815832749682,0.397245573502307
"LSN-VMHn",-0.979274517452989,-0.861614699726711,-0.309142344430067,0.0126823149293142
"SFn-VMHn",-0.975756365698819,-0.839740953743326,-0.235790672826854,0.018078749248185
"DLS-VMHn",-0.804062937589591,-0.129291809681649,0.691049846797387,0.782337357451824
"DMS-VMHn",-0.948748282398917,-0.685339870282766,0.139942846908753,0.0892546268699507
"NACC.S-VMHn",-0.600920868261274,0.277890620202501,0.852539646144063,0.546240723482427
"NACC.C-VMHn",-0.877101335227353,-0.365379230418669,0.534841467379323,0.420274864708822
"FStr-VMHn",-0.922601006198163,-0.555463427150921,0.339682661890395,0.195484409481279
"OT-VMHn",-0.29751326884958,0.587076197993225,0.929291999049251,0.165814094802776
"MGCn-VMHn",0.113261335751247,0.79823600641431,0.968881757001086,0.0314000905559776
"Gpe-VMHn",-0.797076129909974,-0.110112397040375,0.701079989657564,0.814198579566719
"Gpi-VMHn",-0.991263007352276,-0.939585145065403,-0.63783493087203,0.00166767099003271
"SbInn-VMHn",0.430359295173194,0.893762036848734,0.984319339529997,0.00666772160388291
"MSn-VMHn",-0.272767878281436,0.604450432289063,0.932876114826662,0.15053317822822
"DBn-VMHn",-0.17734755428599,0.664449832865605,0.944772669804124,0.103504075357635
"TnS-VMHn",-0.976243376885656,-0.842742797346276,-0.245465536046757,0.0172733531902947
"BNST-VMHn",-0.968188482340208,-0.794138466466744,-0.102198182988961,0.0329408979315846
"VALCT-VMHn",-0.336119682062865,0.558238427490671,0.923197328147675,0.192784763142548
"VMT-VMHn",-0.60108733088251,0.277650137432197,0.852468443663436,0.5466026538194
"VPLT-VMHn",-0.143987643892199,0.683144555756445,0.9483343727658,0.0907000116393038
"VPMT-VMHn",-0.158475628176828,0.675156584077067,0.946820645674484,0.0960625550006086
"PTTn-VMHn",-0.195707747369066,0.732138181694757,0.968337517138204,0.0980153940272112
"MGC-VMHn",0.789150806175431,0.967340984222656,0.995334077406462,0.000363764699879296
"dLGC-VMHn",-0.786640363178388,-0.082387371278273,0.715033167700358,0.860609050699746
"LPT-VMHn",-0.551671866263005,0.344509679370527,0.871475768701165,0.449222741558404
"PCT-VMHn",-0.112089376866434,0.700060728540788,0.951500635188572,0.0798791461255416
"PlnT-VMHn",0.633482130994953,0.938723343400189,0.991135007216406,0.00172696657588673
"EnT-VMHn",-0.158266663042612,0.675273203828519,0.946842832049693,0.0959831000590299
"AVT-VMHn",-0.914048440178167,-0.516543627025279,0.387086075858343,0.23523201208826
"AMn-VMHn",-0.792510721094453,-0.0978503472573495,0.707328689487369,0.834678201958838
"IADT-VMHn",-0.913393231548573,-0.393590829065275,0.614141377672862,0.440100070224726
"IMDT-VMHn",-0.834551644555357,-0.219343343170126,0.639315862927094,0.636523767047546
"MDT-VMHn",-0.563773109366108,0.328936113909293,0.867185444271347,0.471294073668685
"SMT-VMHn",-0.369824743456243,0.531161624490601,0.91730271335294,0.219894555768785
"pRE-VMHn",-0.908561799371239,-0.492411674245777,0.414260148056006,0.261600600125183
"PVT-VMHn",-0.982996897378314,-0.885244037371765,-0.396526301149821,0.00804742584165823
"PT-VMHn",-0.949250778302872,-0.599628110561433,0.412831318454995,0.208357138306886
"RE-VMHn",-0.846797788548925,-0.258726357638292,0.61395161794214,0.575324481543894
"XiT-VMHn",-0.859000117763097,-0.300014470270567,0.585273504400184,0.513288366583534
"Rh-VMHn",-0.475357052662307,0.432536950467067,0.894299081717837,0.332418558724861
"CMT-VMHn",-0.698515858714597,0.115073630841708,0.798901250024695,0.805935803723145
