"","lower","r","upper","p"
"EnT-MGCn",-0.859629670258419,-0.393049564367155,0.4309972782541,0.335416075130383
"AVT-MGCn",-0.316076703778705,0.49995056139289,0.890794972450518,0.207083395718021
"AMn-MGCn",-0.642099953143357,0.114282372133938,0.757918814634014,0.787578967598868
"IADT-MGCn",-0.702222904343316,0.00484997193802783,0.70710626294766,0.990906445217872
"IMDT-MGCn",-0.066723907268982,0.669424371834516,0.933664294093189,0.069402313729471
"MDT-MGCn",-0.347283879292025,0.473188462217212,0.883323323812807,0.236313436305926
"SMT-MGCn",0.23077984014445,0.804604517496254,0.963174090050695,0.0160238870147464
"pRE-MGCn",-0.902548985921396,-0.543618285972068,0.261059518931422,0.163725537293381
"PVT-MGCn",-0.809579894333671,-0.244247468475708,0.556146355777001,0.559923809478589
"PT-MGCn",-0.818687398635664,-0.171140997489819,0.668009598401003,0.713698078699354
"RE-MGCn",-0.655924428155932,0.09064634630595,0.74756762543594,0.830966829777602
"XiT-MGCn",-0.626930114907786,0.139269299256233,0.768520190370603,0.742226989670374
"Rh-MGCn",0.0857024427362446,0.745361365029853,0.950695050756681,0.0337957977100501
"CMT-MGCn",-0.37737091719899,0.445868815054351,0.87547483205516,0.268185864965496
"PCn-MGCn",-0.262835989266494,0.542273206949198,0.902194744296838,0.16497979235537
"CLT-MGCn",-0.631318216076668,0.132140381109109,0.765530375044903,0.755105819608545
"RT-MGCn",-0.373797761457118,0.449195609923337,0.876442839945164,0.264196560428524
"IGLLG-MGCn",-0.980719476347591,-0.870727004685067,-0.341770666262745,0.010751385307451
"vlLGC-MGCn",-0.902693436149986,-0.54416730277695,0.260332852722824,0.163215085125834
"subGn-MGCn",-0.684646307389167,0.1412236976607,0.808317520970119,0.762634826131447
"MHb-MGCn",-0.771183332609041,-0.145674700593675,0.622945459194749,0.730699560518665
"LHb-MGCn",-0.46999333053951,0.35089210852816,0.846304305553455,0.394087104710643
"SON-MGCn",-0.227244196099569,0.634372939349913,0.938900023828313,0.125955766181351
"PVH-MGCn",-0.926476659519921,-0.638951608064583,0.119548062949266,0.0881014397979222
"IPVH-MGCn",-0.486124167659408,0.332423149956395,0.840264467546631,0.421102426090632
"ArH-MGCn",-0.703776366249262,0.00177865379025598,0.705567245989136,0.996665031176971
"ADPO-MGCn",-0.929441389498741,-0.479769880485124,0.543352616985901,0.335561688089474
"AVPO-MGCn",-0.309621823631031,0.578266849298931,0.927449763852374,0.17384182500792
"AVPV-MGCn",-0.701798189781847,0.108715495685368,0.796559968752674,0.816527575629719
